Name #1,Name #2,Event,Type,Date (Year)
Cris Kotzen,Schote,DLTLLY OnBeatBattle (Leipzig),On Beat,2017
Louis Beton,Hörsturz,DLTLLY RapBattle (Leipzig),Rap Battle,2017
Wandelbarz,Mikesh,DLTLLY RapBattle (Leipzig),Rap Battle,2017
Sizyphos,Ilhan,DLTLLY RapBattle (Leipzig),Rap Battle,2017
FU!,Terra Pete,DLTLLY OnBeatBattle (Leipzig),On Beat,2017
MC Maik,Akanoo,DLTLLY RapBattle (Leipzig),Rap Battle,2017
Papi Schlauch,JerMC,DLTLLY RapBattle (Wien),Rap Battle,2017
DemoLux,Krom,DLTLLY RapBattle (Wien),Rap Battle,2017
Sirius Crack,Fate1,DLTLLY RapBattle (Wien),Rap Battle,2017
Proton,Tobi Nice,DLTLLY OnBeatBattles (B.Day#4,On Beat,2017
Lyrico,Nedal Nib,DLTLLY 2nd TITLE-MATCH (B.Day#4,Rap Battle,2017
Spike,Akanoo,DLTLLY Rap Battles (Wien),Rap Battle,2017
EkHead,CPE,DLTLLY RapBattle (FFM),Rap Battle,2017
VT,Karma,DLTLLY RapBattle (FFM),Rap Battle,2017
Clep,Bong Teggy,DLTLLY RapBattle (Splash 20),Rap Battle,2017
Brian Damage + Robscure,Yarambo + T-Way,DLTLLY RapBattle (Splash 20),Rap Battle,2017
Lyrico + Buddi,Falk + Khacoby,DLTLLY RapBattle (Splash 20),Rap Battle,2017
MC Maik,N'antinein,DLTLLY RapBattle (Splash 20),Rap Battle,2017
Merlin,Peter Pogen,DLTLLY RapBattle (Hamburg),Rap Battle,2017
Papi Schlauch,Fabiga,DLTLLY RapBattle (Hamburg),Rap Battle,2017
Davie Jones,Schote,DLTLLY OnBeatBattle (Hamburg),On Beat,2017
Nedal Nib,JerMc,DLTLLY RapBattle (Mayhem2,Rap Battle,2017
Nikiz,Stockinger,DLTLLY RapBattle (Mayhem2,Rap Battle,2017
Mikesh,Tuncmann,DLTLLY RapBattle (Hamburg),Rap Battle,2017
Henrey,Vyrus,DLTLLY RapBattle (Hamburg),Rap Battle,2017
Lyrico,Robscure,DLTLLY TitleContenderMatch (Mayhem2,Rap Battle,2017
